LSOA_code,outcome_type,crime_type,date_month,2019,2020,2021,2022
891,1,0,3,1,0,0,0
1059,0,8,3,1,0,0,0
1165,1,2,3,1,0,0,0
866,0,2,3,1,0,0,0
937,0,8,3,1,0,0,0
646,1,3,3,1,0,0,0
908,1,9,3,1,0,0,0
891,1,8,3,1,0,0,0
484,1,2,3,1,0,0,0
484,1,8,3,1,0,0,0
464,1,2,3,1,0,0,0
717,1,3,3,1,0,0,0
860,0,8,3,1,0,0,0
848,1,8,3,1,0,0,0
477,1,2,3,1,0,0,0
678,1,9,3,1,0,0,0
1054,0,8,3,1,0,0,0
869,1,8,3,1,0,0,0
607,1,9,3,1,0,0,0
933,0,8,3,1,0,0,0
1051,0,9,3,1,0,0,0
437,0,8,3,1,0,0,0
633,0,8,3,1,0,0,0
747,0,8,3,1,0,0,0
993,1,9,3,1,0,0,0
607,1,9,3,1,0,0,0
779,0,8,3,1,0,0,0
891,0,9,3,1,0,0,0
467,0,8,3,1,0,0,0
938,0,8,3,1,0,0,0
442,0,8,3,1,0,0,0
615,1,5,3,1,0,0,0
1094,0,8,3,1,0,0,0
712,1,2,3,1,0,0,0
1035,0,8,3,1,0,0,0
633,0,5,3,1,0,0,0
808,1,7,3,1,0,0,0
615,0,9,3,1,0,0,0
750,0,3,3,1,0,0,0
1165,1,2,3,1,0,0,0
690,0,8,3,1,0,0,0
761,0,8,3,1,0,0,0
937,0,5,3,1,0,0,0
457,0,8,3,1,0,0,0
1065,0,9,3,1,0,0,0
583,0,9,3,1,0,0,0
497,0,5,3,1,0,0,0
510,1,3,3,1,0,0,0
1000,0,8,3,1,0,0,0
917,0,8,3,1,0,0,0
525,1,9,3,1,0,0,0
937,0,5,3,1,0,0,0
993,1,9,3,1,0,0,0
993,0,9,3,1,0,0,0
995,0,8,3,1,0,0,0
1152,1,2,3,1,0,0,0
975,0,8,3,1,0,0,0
763,0,5,3,1,0,0,0
774,0,8,3,1,0,0,0
1085,0,8,3,1,0,0,0
614,0,8,3,1,0,0,0
687,1,8,3,1,0,0,0
1054,0,8,3,1,0,0,0
655,0,5,3,1,0,0,0
985,0,5,3,1,0,0,0
583,0,8,3,1,0,0,0
909,0,8,3,1,0,0,0
539,1,8,3,1,0,0,0
539,1,8,3,1,0,0,0
539,0,8,3,1,0,0,0
678,1,9,3,1,0,0,0
922,0,1,3,1,0,0,0
539,1,8,3,1,0,0,0
869,0,8,3,1,0,0,0
1039,1,2,3,1,0,0,0
539,1,8,3,1,0,0,0
532,0,8,3,1,0,0,0
662,1,2,3,1,0,0,0
660,1,2,3,1,0,0,0
684,0,8,3,1,0,0,0
841,0,5,3,1,0,0,0
709,1,8,3,1,0,0,0
1041,0,5,3,1,0,0,0
652,0,1,3,1,0,0,0
537,0,8,3,1,0,0,0
747,0,8,3,1,0,0,0
484,1,2,3,1,0,0,0
860,0,8,3,1,0,0,0
587,0,8,3,1,0,0,0
587,0,8,3,1,0,0,0
757,0,8,3,1,0,0,0
1085,0,2,3,1,0,0,0
922,1,1,3,1,0,0,0
1085,0,8,3,1,0,0,0
1031,0,8,3,1,0,0,0
891,1,8,3,1,0,0,0
891,1,8,3,1,0,0,0
933,0,8,3,1,0,0,0
933,0,8,3,1,0,0,0
862,0,8,3,1,0,0,0
779,0,3,3,1,0,0,0
891,1,8,3,1,0,0,0
974,0,5,3,1,0,0,0
794,1,5,3,1,0,0,0
676,0,5,3,1,0,0,0
469,0,8,3,1,0,0,0
831,0,8,3,1,0,0,0
542,0,8,3,1,0,0,0
654,0,5,3,1,0,0,0
480,0,8,3,1,0,0,0
572,0,8,3,1,0,0,0
922,0,8,3,1,0,0,0
705,0,8,3,1,0,0,0
994,0,8,3,1,0,0,0
727,0,8,3,1,0,0,0
919,0,9,3,1,0,0,0
498,0,5,3,1,0,0,0
1064,0,8,3,1,0,0,0
931,0,8,3,1,0,0,0
1075,0,9,3,1,0,0,0
904,0,8,3,1,0,0,0
1039,0,8,3,1,0,0,0
888,0,8,3,1,0,0,0
862,0,8,3,1,0,0,0
439,1,2,3,1,0,0,0
551,0,8,3,1,0,0,0
587,0,9,3,1,0,0,0
891,1,5,3,1,0,0,0
663,0,8,3,1,0,0,0
1005,0,6,3,1,0,0,0
993,1,9,3,1,0,0,0
681,0,8,3,1,0,0,0
681,0,8,3,1,0,0,0
