LSOA_code,outcome_type,crime_type,date_year,date_month
891,1,0,2019,3
1059,0,8,2019,3
1165,1,2,2019,3
866,0,2,2019,3
937,0,8,2019,3
646,1,3,2019,3
908,1,9,2019,3
891,1,8,2019,3
484,1,2,2019,3
484,1,8,2019,3
464,1,2,2019,3
717,1,3,2019,3
860,0,8,2019,3
848,1,8,2019,3
477,1,2,2019,3
678,1,9,2019,3
1054,0,8,2019,3
869,1,8,2019,3
607,1,9,2019,3
933,0,8,2019,3
1051,0,9,2019,3
437,0,8,2019,3
633,0,8,2019,3
747,0,8,2019,3
993,1,9,2019,3
607,1,9,2019,3
779,0,8,2019,3
891,0,9,2019,3
467,0,8,2019,3
938,0,8,2019,3
442,0,8,2019,3
615,1,5,2019,3
1094,0,8,2019,3
712,1,2,2019,3
1035,0,8,2019,3
633,0,5,2019,3
808,1,7,2019,3
615,0,9,2019,3
750,0,3,2019,3
1165,1,2,2019,3
690,0,8,2019,3
761,0,8,2019,3
937,0,5,2019,3
457,0,8,2019,3
1065,0,9,2019,3
583,0,9,2019,3
497,0,5,2019,3
510,1,3,2019,3
1000,0,8,2019,3
917,0,8,2019,3
525,1,9,2019,3
937,0,5,2019,3
993,1,9,2019,3
993,0,9,2019,3
995,0,8,2019,3
1152,1,2,2019,3
975,0,8,2019,3
763,0,5,2019,3
774,0,8,2019,3
1085,0,8,2019,3
614,0,8,2019,3
687,1,8,2019,3
1054,0,8,2019,3
655,0,5,2019,3
985,0,5,2019,3
583,0,8,2019,3
909,0,8,2019,3
539,1,8,2019,3
539,1,8,2019,3
539,0,8,2019,3
678,1,9,2019,3
922,0,1,2019,3
539,1,8,2019,3
869,0,8,2019,3
1039,1,2,2019,3
539,1,8,2019,3
532,0,8,2019,3
662,1,2,2019,3
660,1,2,2019,3
684,0,8,2019,3
841,0,5,2019,3
709,1,8,2019,3
1041,0,5,2019,3
652,0,1,2019,3
537,0,8,2019,3
747,0,8,2019,3
484,1,2,2019,3
860,0,8,2019,3
587,0,8,2019,3
587,0,8,2019,3
757,0,8,2019,3
1085,0,2,2019,3
922,1,1,2019,3
1085,0,8,2019,3
1031,0,8,2019,3
891,1,8,2019,3
891,1,8,2019,3
933,0,8,2019,3
933,0,8,2019,3
862,0,8,2019,3
779,0,3,2019,3
891,1,8,2019,3
974,0,5,2019,3
794,1,5,2019,3
676,0,5,2019,3
469,0,8,2019,3
831,0,8,2019,3
542,0,8,2019,3
654,0,5,2019,3
480,0,8,2019,3
572,0,8,2019,3
922,0,8,2019,3
705,0,8,2019,3
994,0,8,2019,3
727,0,8,2019,3
919,0,9,2019,3
498,0,5,2019,3
1064,0,8,2019,3
931,0,8,2019,3
1075,0,9,2019,3
904,0,8,2019,3
1039,0,8,2019,3
888,0,8,2019,3
862,0,8,2019,3
439,1,2,2019,3
551,0,8,2019,3
587,0,9,2019,3
891,1,5,2019,3
663,0,8,2019,3
1005,0,6,2019,3
993,1,9,2019,3
681,0,8,2019,3
681,0,8,2019,3
535,0,5,2019,3
984,0,8,2019,3
1054,0,8,2019,3
847,1,9,2019,3
607,0,8,2019,3
448,0,8,2019,3
698,0,1,2019,3
1082,0,8,2019,3
621,0,8,2019,3
933,1,2,2019,3
489,0,8,2019,3
481,0,7,2019,3
963,0,9,2019,3
1088,0,8,2019,3
535,0,8,2019,3
587,1,4,2019,3
1031,0,1,2019,3
648,0,8,2019,3
604,1,2,2019,3
1159,0,8,2019,3
615,0,8,2019,3
978,0,8,2019,3
434,0,8,2019,3
537,1,8,2019,3
862,1,7,2019,3
1100,0,1,2019,3
524,1,9,2019,3
775,0,4,2019,3
524,1,8,2019,3
1068,0,1,2019,3
668,0,8,2019,3
524,1,8,2019,3
853,0,8,2019,3
1005,0,8,2019,3
430,0,8,2019,3
1088,0,8,2019,3
668,0,8,2019,3
461,0,8,2019,3
1086,0,8,2019,3
977,1,1,2019,3
583,0,8,2019,3
1023,0,3,2019,3
1000,1,8,2019,3
994,1,8,2019,3
953,1,8,2019,3
933,1,5,2019,3
953,1,5,2019,3
891,1,8,2019,3
955,1,8,2019,3
1048,0,1,2019,3
463,0,1,2019,3
437,0,8,2019,3
989,1,8,2019,3
512,0,1,2019,3
542,0,1,2019,3
1056,0,8,2019,3
615,1,5,2019,3
750,0,8,2019,3
994,1,8,2019,3
770,0,8,2019,3
535,1,3,2019,3
893,0,8,2019,3
994,1,9,2019,3
642,0,8,2019,3
719,0,8,2019,3
516,0,8,2019,3
484,0,8,2019,3
636,1,1,2019,3
483,0,8,2019,3
615,0,8,2019,3
821,0,9,2019,3
494,1,8,2019,3
483,0,9,2019,3
714,0,8,2019,3
853,0,8,2019,3
992,0,8,2019,3
934,0,8,2019,3
934,0,8,2019,3
988,0,9,2019,3
1165,0,8,2019,3
919,1,8,2019,3
448,0,8,2019,3
707,0,8,2019,3
676,1,9,2019,3
483,0,8,2019,3
917,0,8,2019,3
764,0,8,2019,3
723,0,8,2019,3
869,0,8,2019,3
648,0,1,2019,3
671,0,8,2019,3
486,1,2,2019,3
739,0,8,2019,3
994,1,2,2019,3
893,0,8,2019,3
860,0,8,2019,3
754,0,8,2019,3
806,0,8,2019,3
563,0,8,2019,3
778,0,8,2019,3
955,1,8,2019,3
955,1,8,2019,3
981,0,8,2019,3
514,0,8,2019,3
1091,0,8,2019,3
579,0,8,2019,3
735,0,1,2019,3
579,0,8,2019,3
1003,0,8,2019,3
535,1,9,2019,3
1047,0,9,2019,3
15,1,8,2019,3
952,1,9,2019,3
119,1,5,2019,3
765,0,5,2019,3
719,0,1,2019,3
574,0,5,2019,3
994,0,5,2019,3
994,0,5,2019,3
991,0,8,2019,3
1064,0,5,2019,3
1161,1,5,2019,3
934,0,8,2019,3
1010,0,8,2019,3
891,1,9,2019,3
787,0,8,2019,3
673,0,8,2019,3
546,0,9,2019,3
860,1,1,2019,3
1065,1,2,2019,3
913,0,8,2019,3
971,0,3,2019,3
463,0,8,2019,3
894,0,8,2019,3
993,0,9,2019,3
1078,0,8,2019,3
704,0,5,2019,3
1024,0,8,2019,3
583,0,8,2019,3
468,0,5,2019,3
583,0,8,2019,3
583,0,8,2019,3
879,0,8,2019,3
993,0,9,2019,3
958,1,2,2019,3
879,0,8,2019,3
769,0,8,2019,3
879,0,8,2019,3
541,0,8,2019,3
879,0,8,2019,3
879,0,8,2019,3
454,0,8,2019,3
643,0,5,2019,3
879,0,8,2019,3
486,0,8,2019,3
939,0,8,2019,3
665,1,9,2019,3
643,0,5,2019,3
994,0,9,2019,3
985,0,5,2019,3
287,0,8,2019,3
861,0,8,2019,3
1078,0,1,2019,3
712,0,8,2019,3
778,0,1,2019,3
998,0,8,2019,3
1074,0,8,2019,3
882,0,5,2019,3
462,0,8,2019,3
660,0,5,2019,3
909,0,1,2019,3
762,0,5,2019,3
524,0,8,2019,3
720,1,2,2019,3
770,0,8,2019,3
1019,0,9,2019,3
817,0,8,2019,3
891,1,1,2019,3
442,0,8,2019,3
1165,0,9,2019,3
968,0,3,2019,3
957,0,3,2019,3
535,0,9,2019,3
1025,1,5,2019,3
682,1,8,2019,3
606,0,3,2019,3
718,0,5,2019,3
718,0,9,2019,3
883,0,9,2019,3
810,1,0,2019,3
1163,1,2,2019,3
993,1,9,2019,3
854,0,8,2019,3
965,1,8,2019,3
854,0,8,2019,3
965,1,5,2019,3
1078,0,9,2019,3
476,0,1,2019,3
476,0,8,2019,3
608,1,8,2019,3
1048,0,5,2019,3
750,0,8,2019,3
448,0,8,2019,3
962,0,8,2019,3
999,0,9,2019,3
887,0,8,2019,3
999,1,9,2019,3
839,0,8,2019,3
914,0,8,2019,3
474,0,8,2019,3
838,0,8,2019,3
610,0,8,2019,3
975,0,8,2019,3
476,1,5,2019,3
891,1,8,2019,3
835,1,9,2019,3
476,1,8,2019,3
1054,0,9,2019,3
975,0,8,2019,3
498,0,8,2019,3
777,0,2,2019,3
889,0,5,2019,3
471,1,9,2019,3
889,0,8,2019,3
998,0,5,2019,3
583,0,8,2019,3
453,0,8,2019,3
772,1,8,2019,3
868,0,5,2019,3
458,0,8,2019,3
593,0,8,2019,3
1057,0,8,2019,3
1036,1,8,2019,3
891,0,8,2019,3
432,0,8,2019,3
1035,1,8,2019,3
458,0,8,2019,3
475,0,4,2019,3
612,1,8,2019,3
1072,0,1,2019,3
1152,1,2,2019,3
467,0,9,2019,3
771,0,5,2019,3
1161,1,4,2019,3
968,1,7,2019,3
891,1,2,2019,3
1053,0,5,2019,3
535,0,5,2019,3
705,0,3,2019,3
616,0,8,2019,3
905,0,8,2019,3
646,1,8,2019,3
476,1,2,2019,3
1057,0,5,2019,3
1057,0,5,2019,3
1075,0,8,2019,3
